district_name,rep_incumbent,dem_incumbent,obama_2012_margin,dem_2014_margin,hillary_2016_margin,dem_2016_margin,elasticity,rep_running,dem_running,dinc14,rinc14,dinc16,rinc16
AL-01,1,0,-0.1426,-0.1532,-0.1617,N/A,0.9,TRUE,TRUE,0,1,0,0
AL-02,1,0,-0.1531,-0.1442,-0.174,-0.0521,0.97,TRUE,TRUE,0,1,0,1
AL-03,1,0,-0.1483,-0.1328,-0.1801,-0.176,0.79,TRUE,TRUE,0,1,0,1
AL-04,1,0,-0.2767,N/A,-0.3332,N/A,0.86,TRUE,TRUE,0,0,0,0
AL-05,1,0,-0.1664,-0.2175,-0.185,-0.1733,1,TRUE,TRUE,0,1,0,1
AL-06,1,0,-0.2726,-0.2305,-0.2501,-0.256,0.78,TRUE,TRUE,0,0,0,1
AL-07,0,1,0.2074,N/A,0.1959,N/A,0.85,FALSE,TRUE,0,0,0,0
AK-01,1,0,-0.0926,-0.0255,-0.0951,-0.0887,1.16,TRUE,TRUE,0,1,0,1
AZ-01,0,1,-0.0324,0.0545,-0.0169,0.0331,1.05,TRUE,TRUE,1,0,0,0
AZ-02,0,0,-0.0273,0.0295,0.0149,-0.0757,0.94,TRUE,TRUE,1,0,0,1
AZ-03,0,1,0.105,0.0855,0.1464,N/A,1.08,TRUE,TRUE,1,0,0,0
AZ-04,1,0,-0.204,-0.2012,-0.2222,-0.2207,1.12,TRUE,TRUE,0,1,0,1
AZ-05,1,0,-0.168,-0.1665,-0.1232,-0.1467,1.1,TRUE,TRUE,0,1,0,0
AZ-06,1,0,-0.1249,-0.1195,-0.0638,-0.1267,1.09,TRUE,TRUE,0,1,0,1
AZ-07,0,1,0.2105,0.3647,0.2495,0.2473,1.13,FALSE,TRUE,0,0,1,0
AZ-08,1,0,-0.1454,N/A,-0.122,N/A,1.01,TRUE,TRUE,0,0,0,0
AZ-09,0,0,0.0034,0.0959,0.0765,0.1035,0.95,TRUE,TRUE,1,0,1,0
AR-01,1,0,-0.1466,-0.1315,-0.1951,N/A,1.06,TRUE,TRUE,0,1,0,0
AR-02,1,0,-0.0796,-0.0135,-0.0641,-0.1157,0.97,TRUE,TRUE,0,1,0,1
AR-03,1,0,-0.1946,N/A,-0.1781,N/A,1,TRUE,TRUE,0,0,0,0
AR-04,1,0,-0.1526,-0.0285,-0.1811,N/A,0.97,TRUE,TRUE,0,1,0,0
CA-01,1,0,-0.1037,-0.0805,-0.1173,-0.0967,1.11,TRUE,TRUE,0,1,0,1
CA-02,0,1,0.1997,0.2795,0.2365,0.2633,0.76,TRUE,TRUE,1,0,1,0
CA-03,0,1,0.0379,0.0565,0.0435,0.0883,1,TRUE,TRUE,1,0,1,0
CA-04,1,0,-0.1141,N/A,-0.0899,-0.1327,1.11,TRUE,TRUE,0,0,0,1
CA-05,0,1,0.1982,0.2865,0.2466,0.2633,0.83,TRUE,TRUE,1,0,1,0
CA-06,0,1,0.1898,0.2565,0.2282,0.2483,0.86,FALSE,TRUE,1,0,1,0
CA-07,0,1,0.0009,0.0335,0.0501,0.0063,0.9,TRUE,TRUE,1,0,1,0
CA-08,1,0,-0.0911,-0.1465,-0.0912,-0.1287,0.97,TRUE,FALSE,0,1,0,1
CA-09,0,1,0.0708,0.0535,0.0872,0.0683,0.95,TRUE,TRUE,1,0,1,0
CA-10,1,0,-0.0012,-0.0315,0.0049,-0.0227,1.08,TRUE,TRUE,0,1,0,1
CA-11,0,1,0.173,0.2025,0.2479,0.2153,1,TRUE,TRUE,1,0,1,0
CA-12,0,1,0.3463,0.362,0.3942,N/A,0.83,TRUE,TRUE,1,0,0,0
CA-13,0,1,0.389,0.4145,0.4167,0.4021,0.79,FALSE,TRUE,1,0,1,0
CA-14,0,1,0.2391,0.2965,0.2975,0.3033,0.83,TRUE,TRUE,1,0,1,0
CA-15,0,1,0.1757,0.2275,0.2302,0.2323,0.82,TRUE,TRUE,1,0,1,0
CA-16,0,1,0.0783,0.0365,0.1033,0.0743,1,TRUE,TRUE,1,0,1,0
CA-17,0,1,0.2186,0.2915,0.2717,0.3125,0.89,TRUE,TRUE,1,0,1,0
CA-18,0,1,0.1827,0.2075,0.2748,0.2053,0.98,TRUE,TRUE,1,0,1,0
CA-19,0,1,0.2091,0.2015,0.2612,0.2333,0.92,TRUE,TRUE,1,0,1,0
CA-20,0,1,0.2105,0.2815,0.241,0.2023,0.88,FALSE,TRUE,1,0,0,0
CA-21,1,0,0.0369,-0.0485,0.0706,-0.0727,0.93,TRUE,TRUE,0,1,0,1
CA-22,1,0,-0.1288,-0.1905,-0.0612,-0.1817,1.04,TRUE,TRUE,0,1,0,1
CA-23,1,0,-0.1498,-0.2185,-0.1279,-0.1977,1.03,TRUE,TRUE,0,1,0,1
CA-24,0,1,0.0371,0.0495,0.0953,0.0283,0.97,TRUE,TRUE,1,0,0,0
CA-25,1,0,-0.0294,-0.1425,0.0304,-0.0367,0.97,TRUE,TRUE,0,0,0,1
CA-26,0,1,0.0331,0.0428,0.1055,0.0981,1.18,TRUE,TRUE,1,0,1,0
CA-27,0,1,0.1218,0.1231,0.1881,0.1685,0.87,FALSE,TRUE,1,0,1,0
CA-28,0,1,0.2066,0.2945,0.2527,0.2742,0.82,TRUE,TRUE,1,0,1,0
CA-29,0,1,0.2701,0.2756,0.3111,N/A,1.07,TRUE,TRUE,1,0,0,0
CA-30,0,1,0.1501,0.1859,0.2178,0.2207,0.88,TRUE,TRUE,1,0,1,0
CA-31,0,1,0.0652,0.0468,0.1008,0.055,0.93,TRUE,TRUE,0,1,1,0
CA-32,0,1,0.1477,0.1261,0.1952,N/A,0.85,TRUE,TRUE,1,0,0,0
CA-33,0,1,0.1025,0.1123,0.2079,0.1587,1.01,TRUE,TRUE,1,0,1,0
CA-34,0,1,0.3351,0.2545,0.3754,N/A,1.01,FALSE,TRUE,1,0,0,0
CA-35,0,1,0.1681,0.1645,0.2046,0.2183,0.85,TRUE,TRUE,1,0,1,0
CA-36,0,1,-0.0033,0.0715,0.0355,0.1153,1.03,TRUE,TRUE,1,0,1,0
CA-37,0,1,0.3502,0.3725,0.3882,0.3053,0.81,TRUE,TRUE,1,0,1,0
CA-38,0,1,0.1433,0.1205,0.1987,0.1993,0.85,TRUE,TRUE,1,0,1,0
CA-39,0,0,-0.0385,-0.1555,0.0451,-0.0777,0.95,TRUE,TRUE,0,1,0,1
CA-40,0,1,0.312,0.1415,0.3542,0.3063,1.05,FALSE,TRUE,0,0,1,0
CA-41,0,1,0.1092,0.0955,0.1378,0.1443,0.93,TRUE,TRUE,1,0,1,0
CA-42,1,0,-0.0968,-0.1275,-0.0744,-0.0937,1.04,TRUE,TRUE,0,1,0,1
CA-43,0,1,0.2763,0.2395,0.3133,0.2553,0.97,TRUE,TRUE,1,0,1,0
CA-44,0,1,0.3204,N/A,0.3189,0.4013,0.79,FALSE,TRUE,0,0,0,0
CA-45,1,0,-0.08,-0.1215,-0.0131,-0.0917,0.95,TRUE,TRUE,0,1,0,1
CA-46,0,1,0.0944,0.1265,0.1519,0.2263,0.85,TRUE,TRUE,1,0,0,0
CA-47,0,1,0.0804,0.0895,0.1149,0.1313,0.94,TRUE,TRUE,1,0,1,0
CA-48,1,0,-0.0896,-0.1115,-0.0321,-0.0887,0.99,TRUE,TRUE,0,1,0,1
CA-49,0,0,-0.0626,-0.0725,-0.0041,-0.0087,0.91,TRUE,TRUE,0,1,0,1
CA-50,1,0,-0.1436,-0.1825,-0.1151,-0.1407,0.93,TRUE,TRUE,0,1,0,1
CA-51,0,1,0.1744,0.2175,0.2069,0.2223,1.11,TRUE,TRUE,1,0,1,0
CA-52,0,1,0.0014,0.0455,0.0699,0.0593,0.97,TRUE,TRUE,1,0,1,0
CA-53,0,1,0.0944,0.1175,0.1339,0.1493,0.85,TRUE,TRUE,1,0,1,0
CO-01,0,1,0.1859,0.2238,0.2389,0.2044,0.97,TRUE,TRUE,1,0,1,0
